0,A Narayanapuram,ANANTHAPUR,Andhra Pradesh,515004,,,0.0,0.0
1,Akuledu,ANANTHAPUR,Andhra Pradesh,515731,,,14.68119,77.5967
0,A Narayanapuram,ANANTHAPUR,Andhra Pradesh,515004,14.69648,77.582741
0,A Narayanapuram,ANANTHAPUR,Andhra Pradesh,515004,0.0,0.0
